,0
272,41.0
273,47.0
274,47.0
275,43.0
276,97.0
277,127.0
278,93.0
279,113.0
280,194.0
281,270.0
282,253.0
283,277.0
284,321.0
285,17.0
286,76.0
287,86.0
288,159.0
289,124.0
290,402.0
291,197.0
292,185.0
293,171.0
294,166.0
295,206.0
296,57.0
297,103.0
298,112.0
299,200.0
300,55.0
301,153.0
302,145.0
303,494.0
304,538.0
305,282.0
306,144.0
307,182.0
308,16.0
309,122.0
310,181.0
311,287.0
312,286.0
313,65.0
314,108.0
315,148.0
316,81.0
317,217.0
318,207.0
319,333.0
320,170.0
321,151.0
322,10.0
323,158.0
324,142.0
325,167.0
326,96.0
327,135.0
328,17.0
329,56.0
330,170.0
331,194.0
332,248.0
333,501.0
334,584.0
335,500.0
336,202.0
337,117.0
338,142.0
339,343.0
340,304.0
341,313.0
342,247.0
343,371.0
344,483.0
345,518.0
346,46.0
347,172.0
348,210.0
349,220.0
350,281.0
351,275.0
352,46.0
353,47.0
354,88.0
355,188.0
356,156.0
357,158.0
358,247.0
359,52.0
360,40.0
361,58.0
362,170.0
363,181.0
364,167.0
365,73.0
366,88.0
367,21.0
368,55.0
369,142.0
370,216.0
371,280.0
372,274.0
373,383.0
374,410.0
375,193.0
376,204.0
377,71.0
378,271.0
379,209.0
380,156.0
381,68.0
382,62.0
383,54.0
384,82.0
385,153.0
386,238.0
387,183.0
388,150.0
389,98.0
390,133.0
391,221.0
392,294.0
393,164.0
394,128.0
395,130.0
396,188.0
397,77.0
398,121.0
399,90.0
400,105.0
401,205.0
402,177.0
403,207.0
404,264.0
405,139.0
406,185.0
407,181.0
408,66.0
409,99.0
410,55.0
411,98.0
412,179.0
413,136.0
414,146.0
415,83.0
416,76.0
417,48.0
418,60.0
419,102.0
420,91.0
421,123.0
422,158.0
423,101.0
424,160.0
425,186.0
426,220.0
427,174.0
428,290.0
429,120.0
430,107.0
431,198.0
432,44.0
433,145.0
434,65.0
435,113.0
436,122.0
437,152.0
438,105.0
439,51.0
440,57.0
441,96.0
442,103.0
443,121.0
444,29.0
445,56.0
446,54.0
447,113.0
448,109.0
449,53.0
450,117.0
451,99.0
452,163.0
453,180.0
454,245.0
455,123.0
456,223.0
457,97.0
458,96.0
459,58.0
460,40.0
461,463.0
462,136.0
463,190.0
464,74.0
465,56.0
466,80.0
467,114.0
468,188.0
469,118.0
470,269.0
471,259.0
472,173.0
473,280.0
474,257.0
475,261.0
476,60.0
477,53.0
478,62.0
479,43.0
480,52.0
481,51.0
482,75.0
483,192.0
484,195.0
485,219.0
486,88.0
487,105.0
488,71.0
489,27.0
490,59.0
491,106.0
492,116.0
493,146.0
494,155.0
495,187.0
496,201.0
497,216.0
498,256.0
499,214.0
500,158.0
501,190.0
502,108.0
503,51.0
504,77.0
505,131.0
506,106.0
507,177.0
508,72.0
509,78.0
510,38.0
511,49.0
512,58.0
513,127.0
514,104.0
515,183.0
516,100.0
517,149.0
518,149.0
519,178.0
520,130.0
521,163.0
522,46.0
523,38.0
524,45.0
525,98.0
526,113.6
527,124.0
528,170.0
529,94.0
530,153.0
531,45.0
532,26.0
533,95.0
534,156.0
535,165.0
536,226.0
537,98.0
538,70.0
539,124.0
540,107.0
541,136.0
542,111.0
543,108.0
544,45.0
545,90.0
546,100.0
547,101.0
548,156.0
549,209.0
550,219.0
551,137.0
552,93.0
553,87.0
554,169.0
555,194.0
556,110.0
557,101.0
558,107.0
559,64.0
560,93.0
561,112.0
562,175.0
563,141.0
564,74.0
565,92.0
566,258.0
567,403.0
568,446.0
569,354.0
570,49.0
571,121.0
572,135.0
573,77.0
574,176.0
575,323.0
576,367.0
577,272.0
578,71.0
579,115.0
580,180.0
581,333.0
582,432.0
583,379.0
584,55.0
585,90.0
586,163.0
587,198.0
588,205.0
589,182.0
590,10.0
591,46.0
592,349.0
593,229.0
594,43.0
595,70.0
596,90.0
597,100.0
598,137.0
599,183.0
600,12.0
601,41.0
602,63.0
603,225.0
604,174.0
605,56.0
606,140.0
607,384.0
608,464.0
609,455.0
610,120.0
611,170.0
612,240.0
613,270.0
614,390.0
615,408.0
616,187.0
617,321.0
618,246.0
619,42.0
620,103.0
621,131.0
622,13.0
623,119.0
624,148.0
625,117.0
626,141.0
627,325.0
628,284.0
629,74.0
630,15.0
631,101.0
632,161.0
633,273.0
634,13.0
635,74.0
636,9.0
637,98.0
638,137.0
639,185.0
640,319.0
641,214.0
642,98.0
643,105.0
644,274.0
645,262.0
646,268.0
647,84.0
648,197.0
649,223.0
650,251.0
651,497.0
652,432.0
653,150.0
654,138.0
655,82.0
656,99.0
657,46.0
658,211.0
659,237.0
660,232.0
661,171.0
662,218.0
663,40.0
664,73.0
665,126.0
666,22.0
667,109.0
668,125.0
669,213.0
670,213.0
671,15.0
672,58.0
673,97.0
674,78.0
675,76.0
676,165.0
677,193.0
678,168.0
679,89.0
680,212.0
681,322.0
682,351.0
683,250.0
684,46.0
685,163.0
686,294.0
687,177.0
688,288.0
689,94.0
690,210.0
691,193.0
692,216.0
693,23.0
694,43.0
695,211.0
696,69.0
697,116.0
698,16.0
699,59.0
700,227.0
701,290.0
702,313.0
703,261.0
704,20.0
705,76.0
706,110.0
707,93.0
708,139.0
709,170.0
710,159.0
711,313.0
712,332.0
713,97.0
714,131.0
715,113.0
716,62.0
717,47.0
718,73.0
719,149.0
720,163.0
721,154.0
722,152.0
723,156.0
724,157.0
725,189.0
726,179.0
727,89.0
728,55.0
729,76.0
730,105.0
731,143.0
732,41.0
733,64.0
734,142.0
735,240.0
736,242.0
737,246.0
738,18.0
739,56.0
740,85.0
741,243.0
742,403.0
743,214.0
744,243.0
745,122.0
746,170.0
747,120.0
748,188.0
749,99.0
750,109.0
751,106.0
752,144.0
753,122.0
754,73.0
755,143.0
756,180.0
757,261.0
758,64.0
759,129.0
760,57.0
761,137.0
762,36.0
763,56.0
764,111.0
765,152.0
766,53.0
767,43.0
768,91.0
769,146.0
770,68.0
771,56.0
772,72.0
773,192.0
774,176.0
775,53.0
776,109.0
777,81.0
778,107.0
779,142.0
780,202.0
781,145.0
782,130.0
783,145.0
784,160.0
785,108.0
786,90.0
787,75.0
788,149.0
789,121.0
790,70.0
791,75.0
792,76.0
793,52.0
794,18.0
795,35.0
796,121.0
797,121.0
798,38.0
799,8.0
800,26.0
801,42.0
802,153.0
803,162.0
804,67.0
805,70.0
806,43.0
807,45.0
808,76.0
809,161.0
810,309.0
811,178.0
812,184.0
813,156.0
814,167.0
815,207.0
816,207.0
817,23.0
818,35.0
819,21.0
820,54.0
821,72.0
822,94.0
823,129.0
824,90.0
825,197.0
826,107.0
827,84.0
828,164.0
829,195.0
830,76.0
831,83.0
832,56.0
833,61.0
834,85.0
835,92.0
836,138.0
837,142.0
838,196.0
839,103.0
840,87.0
841,103.0
842,148.0
843,168.0
844,130.0
845,92.0
846,143.0
847,99.0
848,48.0
849,184.0
850,85.0
851,16.0
852,52.0
853,142.0
854,147.0
855,131.0
856,88.0
857,88.0
858,86.0
859,147.0
860,111.0
861,147.0
862,153.0
863,60.0
864,96.0
865,116.0
866,95.0
867,79.0
868,58.0
869,28.0
870,77.0
871,78.0
872,24.0
873,25.0
874,17.0
875,23.0
876,29.0
877,43.0
878,48.0
879,47.0
880,18.0
881,18.0
882,30.0
883,79.0
884,28.0
885,29.0
886,34.0
887,76.0
888,87.0
889,16.0
890,23.0
891,19.0
892,137.0
893,119.0
894,135.0
895,182.0
896,180.0
897,252.0
898,55.0
899,142.0
900,143.0
901,241.0
902,65.0
903,206.0
904,41.0
905,67.0
906,85.0
907,91.0
908,85.0
909,41.0
910,45.0
911,47.0
912,63.0
913,224.0
914,310.0
915,397.0
916,401.0
917,24.0
918,42.0
919,10.0
920,16.0
921,27.0
922,99.0
923,139.0
924,193.0
925,358.0
926,353.0
927,335.0
928,140.0
929,131.0
930,70.0
931,77.0
932,81.0
933,94.0
934,47.0
935,77.0
936,44.0
937,17.0
938,19.0
939,60.0
940,80.0
941,125.0
942,138.0
943,240.0
944,258.0
945,249.0
946,34.0
947,24.0
948,99.0
949,166.0
950,178.0
951,178.0
952,248.0
953,266.0
954,402.0
955,279.0
956,75.0
957,101.0
958,98.0
959,112.0
960,98.0
961,80.0
962,84.0
963,55.0
964,63.0
965,110.0
966,139.0
967,324.0
968,380.0
969,383.0
970,619.0
971,607.0
972,10.0
973,14.0
974,130.0
975,125.0
976,220.0
977,224.0
978,312.0
979,305.0
980,309.0
981,103.0
982,240.0
983,315.0
984,300.0
985,9.0
986,14.0
987,140.0
988,171.0
989,238.0
990,271.0
991,354.0
992,485.0
993,347.0
994,384.0
995,657.0
996,481.0
997,92.0
998,230.0
999,538.0
1000,523.0
1001,193.0
1002,11.0
1003,72.0
1004,113.0
1005,76.0
1006,191.0
1007,339.0
1008,282.0
1009,443.0
1010,142.0
1011,95.0
1012,174.0
1013,210.0
1014,50.0
1015,175.0
1016,265.0
1017,301.0
1018,403.0
1019,379.0
1020,82.0
1021,82.0
1022,198.0
1023,204.0
1024,97.0
1025,60.0
1026,148.0
1027,259.0
1028,240.0
1029,21.0
1030,104.0
1031,106.0
1032,231.0
1033,240.0
1034,165.0
1035,218.0
1036,84.0
1037,157.0
1038,40.0
1039,110.0
1040,60.0
1041,19.0
1042,24.0
1043,37.0
1044,84.0
1045,86.0
1046,60.0
1047,115.0
1048,107.0
1049,76.0
1050,17.0
1051,61.0
1052,166.0
1053,195.0
1054,225.0
1055,286.0
1056,231.0
1057,28.0
1058,104.0
1059,133.0
1060,158.0
1061,59.0
1062,123.0
1063,140.0
1064,273.0
1065,122.0
1066,168.0
1067,291.0
1068,310.0
1069,210.0
1070,254.0
1071,85.0
1072,86.0
1073,46.0
1074,381.0
1075,154.0
1076,358.0
1077,101.0
1078,84.0
1079,160.0
1080,241.0
1081,126.0
1082,60.0
1083,147.0
1084,127.0
1085,154.0
1086,180.0
1087,109.0
1088,116.0
1089,76.0
1090,122.0
1091,70.0
1092,89.0
1093,156.0
1094,158.0
1095,294.0
1096,191.0
1097,204.0
1098,180.0
1099,179.0
1100,170.0
1101,182.0
1102,91.0
1103,48.0
1104,18.0
1105,27.0
1106,115.0
1107,150.0
1108,218.0
1109,223.0
1110,204.0
1111,59.0
1112,93.0
1113,62.0
1114,101.0
1115,218.0
1116,124.0
1117,151.0
1118,129.0
1119,35.0
1120,30.0
1121,25.0
1122,33.0
1123,125.0
1124,150.0
1125,120.0
1126,147.0
1127,37.0
1128,41.0
1129,144.0
1130,180.0
1131,214.0
1132,57.0
1133,36.0
1134,87.0
1135,221.0
1136,192.0
1137,74.0
1138,129.0
1139,176.0
1140,126.0
1141,42.0
1142,87.0
1143,69.0
1144,126.0
1145,98.0
1146,78.0
1147,177.0
1148,81.0
1149,47.0
1150,91.0
1151,38.0
1152,82.0
1153,69.0
1154,200.0
1155,37.0
1156,35.0
1157,49.0
1158,177.0
1159,268.0
1160,69.0
1161,120.0
1162,107.0
1163,202.0
1164,244.0
1165,139.0
1166,19.0
1167,27.0
1168,137.0
1169,115.0
1170,119.0
1171,88.0
1172,30.0
1173,41.0
1174,125.0
1175,93.0
1176,101.0
1177,93.0
1178,16.0
1179,19.0
1180,40.0
1181,71.0
1182,134.0
1183,99.0
1184,40.0
1185,103.0
1186,115.0
1187,127.0
1188,153.0
1189,102.0
1190,126.0
1191,214.0
1192,124.0
1193,82.0
1194,48.0
1195,67.0
1196,129.0
1197,146.0
1198,124.0
1199,92.0
1200,73.0
1201,110.0
1202,86.0
1203,14.0
1204,23.0
1205,73.0
1206,304.0
1207,298.0
1208,285.0
1209,176.0
1210,174.0
1211,27.0
1212,109.0
1213,221.0
1214,327.0
1215,91.0
1216,187.0
1217,202.0
1218,65.0
1219,92.0
1220,63.0
1221,70.0
1222,50.0
1223,78.0
1224,213.0
1225,267.0
1226,253.0
1227,52.0
1228,123.0
1229,165.0
1230,60.0
1231,39.0
1232,53.0
1233,91.0
1234,258.0
1235,322.0
1236,44.0
1237,110.0
1238,197.0
1239,241.0
1240,313.0
1241,314.0
1242,78.0
1243,181.0
1244,229.0
1245,72.0
1246,209.0
1247,181.0
1248,21.0
1249,91.0
1250,143.0
1251,201.0
1252,146.0
1253,141.0
1254,94.0
1255,32.0
1256,16.0
1257,64.0
1258,155.0
1259,132.0
1260,226.0
1261,229.0
1262,107.0
1263,64.0
1264,41.0
1265,15.0
1266,16.0
1267,116.0
1268,85.0
1269,159.0
1270,308.0
1271,80.0
1272,75.0
1273,94.0
1274,153.0
1275,296.0
1276,375.0
1277,28.0
1278,127.0
1279,42.0
1280,67.0
1281,97.0
1282,121.0
1283,134.0
1284,160.0
1285,139.0
1286,80.0
1287,128.0
1288,140.0
1289,127.0
1290,181.0
1291,217.0
1292,236.0
1293,305.0
1294,21.0
1295,68.0
1296,28.0
1297,116.0
1298,150.0
1299,200.0
1300,116.0
1301,180.0
1302,92.0
1303,177.0
1304,226.0
1305,185.0
1306,234.0
1307,42.0
1308,79.0
1309,171.0
1310,148.0
1311,66.0
1312,120.0
1313,164.0
1314,228.0
1315,423.0
1316,365.0
1317,153.0
1318,198.0
1319,17.0
1320,99.0
1321,180.0
1322,274.0
1323,301.0
1324,55.0
1325,105.0
1326,187.0
1327,99.0
1328,169.0
1329,190.0
1330,237.0
1331,193.0
1332,141.0
1333,13.0
1334,91.0
1335,131.0
1336,163.0
1337,144.0
1338,146.0
1339,23.0
1340,59.0
1341,134.0
1342,200.0
1343,236.0
1344,352.0
1345,450.0
1346,388.0
1347,254.0
1348,112.0
1349,114.0
1350,289.0
1351,331.0
1352,322.0
1353,247.0
1354,340.0
1355,444.0
1356,581.0
1357,41.0
1358,163.0
1359,166.0
1360,176.0
1361,290.0
1362,269.0
1363,34.0
1364,58.0
1365,76.0
1366,173.0
1367,150.0
1368,136.0
1369,262.0
1370,37.0
1371,37.0
1372,64.0
1373,147.0
1374,261.0
1375,65.0
1376,83.0
1377,75.0
1378,16.0
1379,53.0
1380,79.0
1381,227.0
1382,266.0
1383,255.0
1384,335.0
1385,383.0
1386,165.0
1387,38.0
1388,45.0
1389,221.0
1390,184.0
1391,127.0
1392,99.0
1393,69.0
1394,49.0
1395,74.0
1396,510.0
1397,444.0
1398,225.0
1399,140.0
1400,140.0
1401,141.0
1402,238.0
1403,280.0
1404,249.0
1405,395.0
1406,123.0
1407,242.0
1408,328.0
1409,105.0
1410,115.0
1411,94.0
1412,202.0
1413,174.0
1414,247.0
1415,387.0
1416,113.0
1417,128.0
1418,191.0
1419,42.0
1420,64.0
1421,38.0
1422,38.0
1423,103.0
1424,101.0
1425,127.0
1426,72.0
1427,70.0
1428,48.0
1429,47.0
1430,83.0
1431,32.0
1432,106.0
1433,91.0
1434,83.0
1435,153.0
1436,161.0
1437,146.0
1438,166.0
1439,285.0
1440,135.0
1441,94.0
1442,178.0
1443,33.0
1444,121.0
1445,45.0
1446,52.0
1447,120.0
1448,155.0
1449,60.0
1450,37.0
1451,60.0
1452,69.0
1453,69.0
1454,110.0
1455,13.0
1456,29.0
1457,49.0
1458,97.0
1459,101.0
1460,24.0
1461,62.0
1462,33.0
1463,135.0
1464,136.0
1465,173.0
1466,100.0
1467,182.0
1468,77.0
1469,117.0
1470,41.0
1471,29.0
1472,72.0
1473,129.0
1474,179.0
1475,25.0
1476,22.0
1477,59.0
1478,91.0
1479,165.0
1480,97.0
1481,540.0
1482,224.0
1483,219.0
1484,266.0
1485,234.0
1486,193.0
1487,114.0
1488,39.0
1489,37.0
1490,19.0
1491,24.0
1492,41.0
1493,64.0
1494,167.0
1495,197.0
1496,191.0
1497,178.0
1498,105.0
1499,85.0
1500,18.0
1501,30.0
1502,69.0
1503,73.0
1504,132.0
1505,197.0
1506,222.0
1507,227.0
1508,179.0
1509,177.0
1510,75.0
1511,43.0
1512,41.0
1513,91.0
1514,95.0
1515,161.0
1516,40.0
1517,30.0
1518,33.0
1519,49.0
1520,44.0
1521,48.0
1522,88.0
1523,221.0
1524,84.0
1525,110.0
1526,136.0
1527,168.0
1528,63.0
1529,88.0
1530,28.0
1531,25.0
1532,34.0
1533,93.0
1534,97.0
1535,92.0
1536,148.0
1537,55.0
1538,123.0
1539,35.0
1540,31.0
1541,93.0
1542,171.0
1543,175.0
1544,206.0
1545,30.0
1546,61.0
1547,104.0
1548,94.0
1549,110.0
1550,114.0
1551,62.0
1552,25.0
1553,43.0
1554,112.0
1555,106.0
1556,158.0
1557,114.0
1558,188.0
1559,112.0
1560,80.0
1561,48.0
1562,169.0
1563,161.0
1564,35.0
1565,96.0
1566,122.0
1567,42.0
1568,92.0
1569,89.0
1570,141.0
1571,135.0
1572,75.0
1573,52.0
1574,181.0
1575,327.0
1576,404.0
1577,396.0
1578,344.0
1579,11.0
1580,26.0
1581,60.0
1582,71.0
1583,50.0
1584,127.0
1585,210.0
1586,335.0
1587,324.0
1588,161.0
1589,122.0
1590,165.0
1591,300.0
1592,343.0
1593,270.0
1594,57.0
1595,100.0
1596,132.0
1597,197.0
1598,180.0
1599,169.0
1600,18.9
1601,38.0
1602,189.0
1603,153.0
1604,27.0
1605,85.0
1606,104.0
1607,121.0
1608,102.0
1609,102.0
1610,15.0
1611,61.0
1612,83.0
1613,178.0
1614,117.0
1615,83.0
1616,176.0
1617,321.0
1618,329.0
1619,347.0
1620,94.0
1621,177.0
1622,191.0
1623,244.0
1624,283.0
1625,320.0
1626,128.0
1627,253.0
1628,250.0
1629,42.0
1630,102.0
1631,54.0
1632,17.0
1633,58.0
1634,200.0
1635,126.0
1636,134.0
1637,249.0
1638,260.0
1639,57.0
1640,53.0
1641,103.0
1642,166.0
1643,138.0
1644,15.0
1645,200.0
1646,174.0
1647,134.0
1648,27.0
1649,60.0
1650,93.0
1651,300.0
1652,24.0
1653,53.0
1654,142.0
1655,288.0
1656,178.0
1657,148.0
1658,29.0
1659,15.0
1660,75.0
1661,103.0
1662,131.0
1663,316.0
1664,278.0
1665,98.0
1666,219.0
1667,289.0
1668,196.0
1669,168.0
1670,79.0
1671,276.0
1672,250.0
1673,345.0
1674,434.0
1675,341.0
1676,110.0
1677,168.0
1678,100.0
1679,130.0
1680,49.0
1681,142.0
1682,309.0
1683,385.0
1684,217.0
1685,190.0
1686,46.0
1687,106.0
1688,150.0
1689,25.0
1690,82.0
1691,116.0
1692,222.0
1693,283.0
1694,23.0
1695,84.0
1696,184.0
1697,25.0
1698,66.0
1699,150.0
1700,297.0
1701,54.0
1702,83.0
1703,152.0
1704,280.0
1705,379.0
1706,255.0
1707,52.0
1708,195.0
1709,388.0
1710,197.0
1711,203.0
1712,120.0
1713,140.0
1714,212.0
1715,218.0
1716,26.0
1717,58.0
1718,203.0
1719,80.0
1720,177.0
1721,19.0
1722,60.0
1723,218.0
1724,238.0
1725,291.0
1726,228.0
1727,18.0
1728,104.0
1729,101.0
1730,94.0
1731,134.0
1732,143.0
1733,134.0
1734,296.0
1735,299.0
1736,78.0
1737,120.0
1738,53.0
1739,46.0
1740,47.0
1741,44.0
1742,115.0
1743,147.0
1744,161.0
1745,174.0
1746,164.0
1747,145.0
1748,195.0
1749,175.0
1750,109.0
1751,53.0
1752,84.0
1753,92.0
1754,77.0
1755,38.0
1756,48.0
1757,146.0
1758,193.0
1759,186.0
1760,242.0
1761,19.0
1762,50.0
1763,63.0
1764,350.0
1765,80.0
1766,93.0
1767,419.0
1768,196.0
1769,93.0
1770,224.0
1771,132.0
1772,145.0
1773,71.0
1774,87.0
1775,144.0
1776,132.0
1777,55.0
1778,145.0
1779,210.0
1780,247.0
1781,69.0
1782,91.0
1783,62.0
1784,64.0
1785,32.0
1786,53.0
1787,79.0
1788,103.0
1789,46.0
1790,31.0
1791,55.0
1792,108.0
1793,79.0
1794,32.0
1795,89.0
1796,182.0
1797,227.0
1798,68.0
1799,27.0
1800,47.0
1801,152.0
1802,118.0
1803,192.0
1804,136.0
1805,112.0
1806,132.0
1807,165.0
1808,118.0
1809,77.0
1810,90.0
1811,131.0
1812,121.0
1813,92.0
1814,36.0
1815,76.0
1816,58.0
1817,76.0
1818,500.0
1819,106.0
1820,109.0
1821,22.0
1822,15.0
1823,31.0
1824,34.0
1825,127.0
1826,127.0
1827,43.0
1828,13.0
1829,26.0
1830,28.0
1831,49.0
1832,115.0
1833,262.0
1834,187.0
1835,172.0
1836,164.0
1837,165.0
1838,211.0
1839,201.0
1840,30.0
1841,33.0
1842,28.0
1843,47.0
1844,63.0
1845,82.0
1846,113.0
1847,99.0
1848,202.0
1849,114.0
1850,74.0
1851,150.0
1852,128.0
1853,70.0
1854,72.0
1855,49.0
1856,57.0
1857,65.0
1858,80.0
1859,111.0
1860,114.0
1861,202.0
1862,79.0
1863,52.0
1864,73.0
1865,116.0
1866,129.0
1867,138.0
1868,55.0
1869,68.0
1870,70.0
1871,45.0
1872,125.0
1873,126.0
1874,117.0
1875,35.0
1876,123.0
1877,97.0
1878,134.0
1879,46.0
1880,52.0
1881,49.0
1882,114.0
1883,73.0
1884,157.0
1885,136.0
1886,39.0
1887,52.0
1888,105.0
1889,82.0
1890,68.0
1891,71.0
1892,20.0
1893,43.0
1894,53.0
1895,17.0
1896,18.0
1897,15.0
1898,14.0
1899,26.0
1900,53.0
1901,36.0
1902,32.0
1903,19.0
1904,16.0
1905,28.0
1906,55.0
1907,22.0
1908,25.0
1909,30.0
1910,61.0
1911,51.0
1912,17.0
1913,12.0
1914,18.0
1915,24.0
1916,115.0
1917,133.0
1918,133.0
1919,164.0
1920,166.0
1921,22.0
1922,143.0
1923,139.0
1924,247.0
1925,47.0
1926,187.0
1927,44.0
1928,62.0
1929,61.0
1930,56.0
1931,72.0
1932,63.0
1933,43.0
1934,79.0
1935,47.0
1936,43.0
1937,50.0
1938,67.0
1939,36.0
1940,110.0
1941,113.0
1942,226.0
1943,276.0
1944,52.0
1945,65.0
1946,100.0
1947,65.0
1948,41.0
1949,66.0
1950,80.0
1951,57.0
1952,52.0
1953,30.0
1954,18.0
1955,15.0
1956,36.0
1957,73.0
1958,77.0
1959,78.0
1960,262.0
1961,255.0
1962,220.0
1963,87.0
1964,88.0
1965,102.0
1966,138.0
1967,114.0
1968,83.0
1969,152.0
1970,212.0
1971,295.0
1972,228.0
1973,80.0
1974,123.0
1975,83.0
1976,82.0
1977,77.0
1978,76.0
1979,94.0
1980,59.0
1981,99.0
1982,167.0
1983,54.0
1984,195.0
1985,233.0
1986,320.0
1987,327.0
1988,479.0
1989,25.0
1990,22.0
1991,26.0
1992,56.0
1993,130.0
1994,246.0
1995,281.0
1996,245.0
1997,202.0
1998,89.0
1999,141.0
2000,233.0
2001,245.0
2002,16.0
2003,18.0
2004,136.0
2005,99.0
2006,149.0
2007,208.0
2008,350.0
2009,402.0
2010,375.0
2011,148.0
2012,471.0
2013,464.0
2014,133.0
2015,170.0
2016,305.0
2017,224.0
2018,109.0
2019,14.0
2020,56.0
2021,92.0
2022,60.0
2023,179.0
2024,306.0
2025,258.0
2026,410.0
2027,194.0
2028,63.0
2029,175.0
2030,221.0
2031,35.0
2032,153.0
2033,289.0
2034,290.0
2035,393.0
2036,370.0
2037,66.0
2038,82.0
2039,170.0
2040,120.0
2041,110.0
2042,39.0
2043,131.0
2044,240.0
2045,237.0
2046,31.0
2047,95.0
2048,112.0
2049,220.0
2050,229.0
2051,147.0
2052,201.0
2053,98.0
2054,103.0
2055,25.0
2056,100.0
2057,67.0
2058,16.0
2059,19.0
2060,20.0
2061,65.0
2062,87.0
2063,57.0
2064,117.0
2065,104.0
2066,73.0
2067,14.0
2068,59.0
2069,97.0
2070,188.0
2071,257.0
2072,251.0
2073,197.0
2074,16.0
2075,108.0
2076,98.0
2077,114.0
2078,20.0
2079,19.0
2080,101.0
2081,87.0
2082,149.0
2083,253.0
2084,296.0
2085,204.0
2086,218.0
2087,81.0
2088,78.0
2089,27.0
2090,41.0
2091,107.0
2092,79.0
2093,75.0
2094,79.0
2095,167.0
2096,237.0
2097,114.0
2098,82.0
2099,114.0
2100,126.0
2101,122.0
2102,112.0
2103,161.0
2104,133.0
2105,63.0
2106,98.0
2107,48.0
2108,58.0
2109,147.0
2110,149.0
2111,274.0
2112,199.0
2113,195.0
2114,153.0
2115,149.0
2116,159.0
2117,180.0
2118,90.0
2119,41.0
2120,131.0
2121,120.0
2122,194.0
2123,163.0
2124,160.0
2125,214.0
2126,212.0
2127,50.0
2128,58.0
2129,48.0
2130,50.0
2131,54.0
2132,41.0
2133,190.0
2134,172.0
2135,193.0
2136,167.0
2137,368.0
2138,131.0
2139,272.0
2140,226.0
2141,20.0
